county,precinct,office,district,party,candidate,votes,early_votes,absentee_votes,poll_votes
Alamosa,6,President,,WTP,Sheila Tittle,2,0,2,0
Alamosa,1,President,,SE,Jerry White,1,0,0,1
Alamosa,1,U.S. House,3,D,Sal Pace,364,31,264,66
Alamosa,2,U.S. House,3,D,Sal Pace,371,22,271,76
Alamosa,3,U.S. House,3,D,Sal Pace,534,15,412,101
Alamosa,4,U.S. House,3,D,Sal Pace,529,29,408,89
Alamosa,5,U.S. House,3,D,Sal Pace,127,1,106,20
Alamosa,6,U.S. House,3,D,Sal Pace,436,21,314,98
Alamosa,7,U.S. House,3,D,Sal Pace,599,30,408,153
Alamosa,8,U.S. House,3,D,Sal Pace,195,14,158,22
Alamosa,UOCAVA,U.S. House,3,D,Sal Pace,0,0,26,0
Alamosa,1,U.S. House,3,R,Scott Tipton,231,23,145,62
Alamosa,2,U.S. House,3,R,Scott Tipton,271,18,195,58
Alamosa,3,U.S. House,3,R,Scott Tipton,549,29,428,91
Alamosa,4,U.S. House,3,R,Scott Tipton,595,25,480,89
Alamosa,5,U.S. House,3,R,Scott Tipton,376,20,308,45
Alamosa,6,U.S. House,3,R,Scott Tipton,191,7,135,49
Alamosa,7,U.S. House,3,R,Scott Tipton,344,14,253,74
Alamosa,8,U.S. House,3,R,Scott Tipton,419,23,338,56
Alamosa,UOCAVA,U.S. House,3,R,Scott Tipton,0,0,11,0
Alamosa,1,U.S. House,3,L,Gregory Gilman,17,2,8,7
Alamosa,2,U.S. House,3,L,Gregory Gilman,16,2,11,3
Alamosa,3,U.S. House,3,L,Gregory Gilman,16,0,10,6
Alamosa,4,U.S. House,3,L,Gregory Gilman,16,3,9,4
Alamosa,5,U.S. House,3,L,Gregory Gilman,11,0,9,2
Alamosa,6,U.S. House,3,L,Gregory Gilman,11,3,5,3
Alamosa,7,U.S. House,3,L,Gregory Gilman,24,0,20,4
Alamosa,8,U.S. House,3,L,Gregory Gilman,11,0,10,1
Alamosa,1,U.S. House,3,I,Tisha Casida,27,1,20,6
Alamosa,2,U.S. House,3,I,Tisha Casida,31,1,22,8
Alamosa,3,U.S. House,3,I,Tisha Casida,31,1,25,4
Alamosa,4,U.S. House,3,I,Tisha Casida,49,1,38,10
Alamosa,5,U.S. House,3,I,Tisha Casida,21,1,17,3
Alamosa,6,U.S. House,3,I,Tisha Casida,26,2,14,9
Alamosa,7,U.S. House,3,I,Tisha Casida,37,4,26,7
Alamosa,8,U.S. House,3,I,Tisha Casida,13,1,10,2
Alamosa,UOCAVA,U.S. House,3,I,Tisha Casida,0,0,2,0
Alamosa,1,State Senate,35,D,Crestina Martinez,409,36,291,79
Alamosa,2,State Senate,35,D,Crestina Martinez,420,27,307,84
Alamosa,3,State Senate,35,D,Crestina Martinez,579,18,444,111
Alamosa,4,State Senate,35,D,Crestina Martinez,586,35,456,93
Alamosa,5,State Senate,35,D,Crestina Martinez,172,0,143,29
Alamosa,6,State Senate,35,D,Crestina Martinez,460,21,323,114
Alamosa,7,State Senate,35,D,Crestina Martinez,652,36,453,156
Alamosa,8,State Senate,35,D,Crestina Martinez,230,19,180,30
Alamosa,UOCAVA,State Senate,35,D,Crestina Martinez,0,0,23,0
Alamosa,1,State Senate,35,R,Larry Crowder,213,18,139,55
Alamosa,2,State Senate,35,R,Larry Crowder,251,16,183,52
Alamosa,3,State Senate,35,R,Larry Crowder,525,25,417,82
Alamosa,4,State Senate,35,R,Larry Crowder,580,22,460,96
Alamosa,5,State Senate,35,R,Larry Crowder,348,20,282,43
Alamosa,6,State Senate,35,R,Larry Crowder,193,7,142,43
Alamosa,7,State Senate,35,R,Larry Crowder,332,12,233,82
Alamosa,8,State Senate,35,R,Larry Crowder,395,18,322,53
Alamosa,UOCAVA,State Senate,35,R,Larry Crowder,0,0,15,0
Alamosa,1,State Senate,35,L,William Bartley,25,3,13,9
Alamosa,2,State Senate,35,L,William Bartley,32,2,22,8
Alamosa,3,State Senate,35,L,William Bartley,39,2,28,9
Alamosa,4,State Senate,35,L,William Bartley,48,4,36,8
Alamosa,5,State Senate,35,L,William Bartley,24,2,18,4
Alamosa,6,State Senate,35,L,William Bartley,24,3,12,8
Alamosa,7,State Senate,35,L,William Bartley,40,2,30,8
Alamosa,8,State Senate,35,L,William Bartley,17,1,16,0
Alamosa,UOCAVA,State Senate,35,l,William Bartley,0,0,1,0
Alamosa,1,State House,62,D,Edward Vigil,411,40,282,87
Alamosa,2,State House,62,D,Edward Vigil,428,27,315,85
Alamosa,3,State House,62,D,Edward Vigil,610,22,469,112
Alamosa,4,State House,62,D,Edward Vigil,634,35,490,106
Alamosa,5,State House,62,D,Edward Vigil,165,0,138,26
Alamosa,6,State House,62,D,Edward Vigil,500,22,362,112
Alamosa,7,State House,62,D,Edward Vigil,681,31,484,159
Alamosa,8,State House,62,D,Edward Vigil,239,18,189,31
Alamosa,UOCAVA,State House,62,D,Edward Vigil,0,0,26,0
Alamosa,1,State House,62,R,Tim Walters,221,17,146,56
Alamosa,2,State House,62,R,Tim Walters,264,15,188,61
Alamosa,3,State House,62,R,Tim Walters,531,22,415,93
Alamosa,4,State House,62,R,Tim Walters,558,26,445,86
Alamosa,5,State House,62,R,Tim Walters,358,21,291,44
Alamosa,6,State House,62,R,Tim Walters,173,9,112,52
Alamosa,7,State House,62,R,Tim Walters,321,16,223,78
Alamosa,8,State House,62,R,Tim Walters,391,18,320,51
Alamosa,UOCAVA,State House,62,R,Tim Walters,0,0,12,0
Alamosa,1,Amendment,64,,Yes,435,42,294,99
Alamosa,2,Amendment,64,,Yes,439,29,313,97
Alamosa,3,Amendment,64,,Yes,601,28,447,126
Alamosa,4,Amendment,64,,Yes,648,33,491,124
Alamosa,5,Amendment,64,,Yes,266,10,203,53
Alamosa,6,Amendment,64,,Yes,405,22,276,107
Alamosa,7,Amendment,64,,Yes,622,30,435,157
Alamosa,8,Amendment,64,,Yes,280,23,219,38
Alamosa,UOCAVA,Amendment,64,,Yes,0,0,22,0
Alamosa,1,Amendment,64,,No,207,15,149,43
Alamosa,2,Amendment,64,,No,271,16,202,53
Alamosa,3,Amendment,64,,No,533,17,436,80
Alamosa,4,Amendment,64,,No,555,26,456,73
Alamosa,5,Amendment,64,,No,269,11,236,22
Alamosa,6,Amendment,64,,No,271,10,206,55
Alamosa,7,Amendment,64,,No,389,19,289,81
Alamosa,8,Amendment,64,,No,360,16,301,43
Alamosa,UOCAVA,Amendment,64,,No,0,0,19,0
