county,precinct,office,district,party,candidate,early_votes,poll_votes,votes
Delta,3055415002,U.S. House,3,L,Gregory Gilman,16,5,21
Delta,3055415002,U.S. House,3,UNA,Tisha Casida,21,2,23
Delta,3055415002,State House,54,R,Jared Wright,300,83,383
Delta,3055415002,State House,54,D,Tim Menger,107,19,126
Delta,3055415003,Voters,,,Ballots,393,95,488
Delta,3055415003,President,,AC,Virgil Goode,1,0,1
Delta,3055415003,President,,D,Barack Obama,138,36,174
Delta,3055415003,President,,R,Mitt Romney,235,54,289
Delta,3055415003,President,,L,Gary Johnson,8,2,10
Delta,3055415003,President,,G,Jill Stein,3,0,3
Delta,3055415003,President,,S,Stewart Alexander,0,0,0
Delta,3055415003,President,,J,Ross Anderson,0,0,0
Delta,3055415003,President,,PFP,Roseanne Barr,0,1,1
Delta,3055415003,President,,SW,James Harris,0,0,0
Delta,3055415003,President,,AIP,Tom Hoefling,0,0,0
Delta,3055415003,President,,SAL,Gloria LaRiva,0,0,0
Delta,3055415003,President,,ATP,Merlin Miller,0,0,0
Delta,3055415003,President,,UNA,Jill Reed,0,1,1
Delta,3055415003,President,,OBJ,Thomas Stevens,1,0,1
Delta,3055415003,President,,WTP,Sheila Tittle,1,1,2
Delta,3055415003,President,,SEP,Jerry White,0,0,0
Delta,3055415003,U.S. House,3,D,Sal Pace,113,26,139
Delta,3055415003,U.S. House,3,R,Scott Tipton,231,55,286
Delta,3055415003,U.S. House,3,L,Gregory Gilman,20,4,24
Delta,3055415003,U.S. House,3,UNA,Tisha Casida,14,6,20
Delta,3055415003,State House,54,R,Jared Wright,210,50,260
Delta,3055415003,State House,54,D,Tim Menger,127,35,162
Delta,3055415004,Voters,,,Ballots,658,126,784
Delta,3055415004,President,,AC,Virgil Goode,1,0,1
Delta,3055415004,President,,D,Barack Obama,232,25,257
Delta,3055415004,President,,R,Mitt Romney,395,95,490
Delta,3055415004,President,,L,Gary Johnson,6,4,10
Delta,3055415004,President,,G,Jill Stein,0,0,0
Delta,3055415004,President,,S,Stewart Alexander,1,0,1
Delta,3055415004,President,,J,Ross Anderson,1,0,1
Delta,3055415004,President,,PFP,Roseanne Barr,1,0,1
Delta,3055415004,President,,SW,James Harris,0,0,0
Delta,3055415004,President,,AIP,Tom Hoefling,2,0,2
Delta,3055415004,President,,SAL,Gloria LaRiva,0,0,0
Delta,3055415004,President,,ATP,Merlin Miller,2,0,2
Delta,3055415004,President,,UNA,Jill Reed,0,0,0
Delta,3055415004,President,,OBJ,Thomas Stevens,0,0,0
Delta,3055415004,President,,WTP,Sheila Tittle,2,0,2
Delta,3055415004,President,,SEP,Jerry White,0,0,0
Delta,3055415004,U.S. House,3,D,Sal Pace,209,18,227
Delta,3055415004,U.S. House,3,R,Scott Tipton,399,93,492
Delta,3055415004,U.S. House,3,L,Gregory Gilman,13,6,19
Delta,3055415004,U.S. House,3,UNA,Tisha Casida,23,7,30
Delta,3055415004,State House,54,R,Jared Wright,380,79,459
Delta,3055415004,State House,54,D,Tim Menger,191,36,227
Delta,3055415005,Voters,,,Ballots,508,85,593
Delta,3055415005,President,,AC,Virgil Goode,3,0,3
Delta,3055415005,President,,D,Barack Obama,160,25,185
Delta,3055415005,President,,R,Mitt Romney,329,58,387
Delta,3055415005,President,,L,Gary Johnson,7,1,8
Delta,3055415005,President,,G,Jill Stein,0,0,0
Delta,3055415005,President,,S,Stewart Alexander,0,0,0
Delta,3055415005,President,,J,Ross Anderson,0,0,0
Delta,3055415005,President,,PFP,Roseanne Barr,1,0,1
Delta,3055415005,President,,SW,James Harris,0,0,0
Delta,3055415005,President,,AIP,Tom Hoefling,0,0,0
Delta,3055415005,President,,SAL,Gloria LaRiva,0,0,0
Delta,3055415005,President,,ATP,Merlin Miller,0,0,0
Delta,3055415005,President,,UNA,Jill Reed,2,0,2
Delta,3055415005,President,,OBJ,Thomas Stevens,0,0,0
Delta,3055415005,President,,WTP,Sheila Tittle,0,0,0
Delta,3055415005,President,,SEP,Jerry White,0,0,0
Delta,3055415005,U.S. House,3,D,Sal Pace,125,19,144
Delta,3055415005,U.S. House,3,R,Scott Tipton,338,59,397
Delta,3055415005,U.S. House,3,L,Gregory Gilman,12,1,13
Delta,3055415005,U.S. House,3,UNA,Tisha Casida,22,4,26
Delta,3055415005,State House,54,R,Jared Wright,298,54,352
Delta,3055415005,State House,54,D,Tim Menger,127,21,148
Delta,3055415006,Voters,,,Ballots,668,117,785
Delta,3055415006,President,,AC,Virgil Goode,1,0,1
Delta,3055415006,President,,D,Barack Obama,169,18,187
Delta,3055415006,President,,R,Mitt Romney,473,93,566
Delta,3055415006,President,,L,Gary Johnson,1,1,2
Delta,3055415006,President,,G,Jill Stein,2,0,2
Delta,3055415006,President,,S,Stewart Alexander,0,0,0
Delta,3055415006,President,,J,Ross Anderson,0,0,0
Delta,3055415006,President,,PFP,Roseanne Barr,4,2,6
Delta,3055415006,President,,SW,James Harris,0,0,0
Delta,3055415006,President,,AIP,Tom Hoefling,0,0,0
Delta,3055415006,President,,SAL,Gloria LaRiva,1,0,1
Delta,3055415006,President,,ATP,Merlin Miller,0,0,0
Delta,3055415006,President,,UNA,Jill Reed,1,0,1
Delta,3055415006,President,,OBJ,Thomas Stevens,0,0,0
Delta,3055415006,President,,WTP,Sheila Tittle,1,1,2
Delta,3055415006,President,,SEP,Jerry White,0,0,0
Delta,3055415006,U.S. House,3,D,Sal Pace,149,15,164
Delta,3055415006,U.S. House,3,R,Scott Tipton,477,89,566
Delta,3055415006,U.S. House,3,L,Gregory Gilman,13,4,17
Delta,3055415006,U.S. House,3,UNA,Tisha Casida,19,5,24
Delta,3055415006,State House,54,R,Jared Wright,433,80,513
Delta,3055415006,State House,54,D,Tim Menger,159,27,186
Delta,3055415007,Voters,,,Ballots,692,112,804
Delta,3055415007,President,,AC,Virgil Goode,1,2,3
Delta,3055415007,President,,D,Barack Obama,187,23,210
Delta,3055415007,President,,R,Mitt Romney,493,83,576
Delta,3055415007,President,,L,Gary Johnson,3,2,5
Delta,3055415007,President,,G,Jill Stein,1,0,1
Delta,3055415007,President,,S,Stewart Alexander,0,1,1
Delta,3055415007,President,,J,Ross Anderson,1,0,1
Delta,3055415007,President,,PFP,Roseanne Barr,0,1,1
Delta,3055415007,President,,SW,James Harris,0,0,0
Delta,3055415007,President,,AIP,Tom Hoefling,0,0,0
Delta,3055415007,President,,SAL,Gloria LaRiva,0,0,0
Delta,3055415007,President,,ATP,Merlin Miller,0,0,0
Delta,3055415007,President,,UNA,Jill Reed,1,0,1
Delta,3055415007,President,,OBJ,Thomas Stevens,0,0,0
Delta,3055415007,President,,WTP,Sheila Tittle,0,0,0
Delta,3055415007,President,,SEP,Jerry White,0,0,0
Delta,3055415007,U.S. House,3,D,Sal Pace,155,18,173
Delta,3055415007,U.S. House,3,R,Scott Tipton,486,85,571
Delta,3055415007,U.S. House,3,L,Gregory Gilman,12,2,14
Delta,3055415007,U.S. House,3,UNA,Tisha Casida,11,6,17
Delta,3055415007,State House,54,R,Jared Wright,419,73,492
Delta,3055415007,State House,54,D,Tim Menger,180,29,209
Delta,3055415008,Voters,,,Ballots,686,151,837
Delta,3055415008,President,,AC,Virgil Goode,2,0,2
Delta,3055415008,President,,D,Barack Obama,118,27,145
Delta,3055415008,President,,R,Mitt Romney,547,120,667
Delta,3055415008,President,,L,Gary Johnson,9,1,10
Delta,3055415008,President,,G,Jill Stein,1,0,1
Delta,3055415008,President,,S,Stewart Alexander,0,0,0
Delta,3055415008,President,,J,Ross Anderson,0,0,0
Delta,3055415008,President,,PFP,Roseanne Barr,1,1,2
Delta,3055415008,President,,SW,James Harris,1,0,1
Delta,3055415008,President,,AIP,Tom Hoefling,0,0,0
Delta,3055415008,President,,SAL,Gloria LaRiva,0,0,0
Delta,3055415008,President,,ATP,Merlin Miller,0,0,0
Delta,3055415008,President,,UNA,Jill Reed,1,0,1
Delta,3055415008,President,,OBJ,Thomas Stevens,1,0,1
Delta,3055415008,President,,WTP,Sheila Tittle,1,1,2
Delta,3055415008,President,,SEP,Jerry White,0,0,0
Delta,3055415008,U.S. House,3,D,Sal Pace,98,19,117
Delta,3055415008,U.S. House,3,R,Scott Tipton,521,116,637
Delta,3055415008,U.S. House,3,L,Gregory Gilman,11,6,17
Delta,3055415008,U.S. House,3,UNA,Tisha Casida,36,5,41
Delta,3055415008,State House,61,AC,Robert Petrowsky,35,12,47
Delta,3055415008,State House,61,R,Debra Irvine,429,89,518
Delta,3055415008,State House,61,D,Millie Hamner,102,23,125
Delta,3055415008,State House,61,L,Ellen Temby,8,5,13
Delta,3055415008,State House,61,UNA,Kathleen Curry,67,13,80
Delta,3055415009,Voters,,,Ballots,840,24,864
Delta,3055415009,President,,AC,Virgil Goode,8,1,9
Delta,3055415009,President,,D,Barack Obama,191,10,201
Delta,3055415009,President,,R,Mitt Romney,621,13,634
Delta,3055415009,President,,L,Gary Johnson,7,0,7
Delta,3055415009,President,,G,Jill Stein,0,0,0
Delta,3055415009,President,,S,Stewart Alexander,0,0,0
Delta,3055415009,President,,J,Ross Anderson,0,0,0
Delta,3055415009,President,,PFP,Roseanne Barr,2,0,2
Delta,3055415009,President,,SW,James Harris,0,0,0
Delta,3055415009,President,,AIP,Tom Hoefling,0,0,0
Delta,3055415009,President,,SAL,Gloria LaRiva,0,0,0
Delta,3055415009,President,,ATP,Merlin Miller,1,0,1
Delta,3055415009,President,,UNA,Jill Reed,6,0,6
Delta,3055415009,President,,OBJ,Thomas Stevens,0,0,0
Delta,3055415009,President,,WTP,Sheila Tittle,0,0,0
Delta,3055415009,President,,SEP,Jerry White,0,0,0
Delta,3055415009,U.S. House,3,D,Sal Pace,164,10,174
Delta,3055415009,U.S. House,3,R,Scott Tipton,613,13,626
Delta,3055415009,U.S. House,3,L,Gregory Gilman,20,1,21
Delta,3055415009,U.S. House,3,UNA,Tisha Casida,24,0,24
Delta,3055415009,State House,61,AC,Robert Petrowsky,26,0,26
Delta,3055415009,State House,61,R,Debra Irvine,503,10,513
Delta,3055415009,State House,61,D,Millie Hamner,158,11,169
Delta,3055415009,State House,61,L,Ellen Temby,14,1,15
Delta,3055415009,State House,61,UNA,Kathleen Curry,89,1,90
Delta,3055415010,Voters,,,Ballots,750,226,976
Delta,3055415010,President,,AC,Virgil Goode,1,2,3
Delta,3055415010,President,,D,Barack Obama,198,46,244
Delta,3055415010,President,,R,Mitt Romney,528,171,699
Delta,3055415010,President,,L,Gary Johnson,6,3,9
Delta,3055415010,President,,G,Jill Stein,2,1,3
Delta,3055415010,President,,S,Stewart Alexander,0,0,0
Delta,3055415010,President,,J,Ross Anderson,0,0,0
Delta,3055415010,President,,PFP,Roseanne Barr,1,0,1
Delta,3055415010,President,,SW,James Harris,1,0,1
Delta,3055415010,President,,AIP,Tom Hoefling,1,0,1
Delta,3055415010,President,,SAL,Gloria LaRiva,0,0,0
Delta,3055415010,President,,ATP,Merlin Miller,0,0,0
Delta,3055415010,President,,UNA,Jill Reed,4,1,5
Delta,3055415010,President,,OBJ,Thomas Stevens,0,0,0
Delta,3055415010,President,,WTP,Sheila Tittle,0,0,0
Delta,3055415010,President,,SEP,Jerry White,0,0,0
Delta,3055415010,U.S. House,3,D,Sal Pace,164,39,203
Delta,3055415010,U.S. House,3,R,Scott Tipton,536,166,702
Delta,3055415010,U.S. House,3,L,Gregory Gilman,11,7,18
Delta,3055415010,U.S. House,3,UNA,Tisha Casida,21,10,31
Delta,3055415010,State House,61,AC,Robert Petrowsky,17,10,27
Delta,3055415010,State House,61,R,Debra Irvine,438,148,586
Delta,3055415010,State House,61,D,Millie Hamner,172,36,208
Delta,3055415010,State House,61,L,Ellen Temby,9,8,17
Delta,3055415010,State House,61,UNA,Kathleen Curry,77,15,92
Delta,3055415011,Voters,,,Ballots,733,113,846
Delta,3055415011,President,,AC,Virgil Goode,1,0,1
Delta,3055415011,President,,D,Barack Obama,201,25,226
Delta,3055415011,President,,R,Mitt Romney,511,86,597
Delta,3055415011,President,,L,Gary Johnson,8,1,9
Delta,3055415011,President,,G,Jill Stein,3,0,3
Delta,3055415011,President,,S,Stewart Alexander,0,0,0
Delta,3055415011,President,,J,Ross Anderson,1,0,1
Delta,3055415011,President,,PFP,Roseanne Barr,1,0,1
Delta,3055415011,President,,SW,James Harris,0,0,0
Delta,3055415011,President,,AIP,Tom Hoefling,0,0,0
Delta,3055415011,President,,SAL,Gloria LaRiva,0,0,0
Delta,3055415011,President,,ATP,Merlin Miller,2,0,2
Delta,3055415011,President,,UNA,Jill Reed,0,0,0
Delta,3055415011,President,,OBJ,Thomas Stevens,0,0,0
Delta,3055415011,President,,WTP,Sheila Tittle,1,0,1
Delta,3055415011,President,,SEP,Jerry White,0,0,0
Delta,3055415011,U.S. House,3,D,Sal Pace,184,22,206
Delta,3055415011,U.S. House,3,R,Scott Tipton,484,83,567
Delta,3055415011,U.S. House,3,L,Gregory Gilman,11,7,18
Delta,3055415011,U.S. House,3,UNA,Tisha Casida,37,1,38
Delta,3055415011,State House,61,AC,Robert Petrowsky,23,4,27
Delta,3055415011,State House,61,R,Debra Irvine,413,69,482
Delta,3055415011,State House,61,D,Millie Hamner,167,22,189
Delta,3055415011,State House,61,L,Ellen Temby,11,4,15
Delta,3055415011,State House,61,UNA,Kathleen Curry,85,9,94
Delta,3055415012,Voters,,,Ballots,509,101,610
Delta,3055415012,President,,AC,Virgil Goode,0,0,0
Delta,3055415012,President,,D,Barack Obama,139,16,155
Delta,3055415012,President,,R,Mitt Romney,360,79,439
Delta,3055415012,President,,L,Gary Johnson,6,1,7
Delta,3055415012,President,,G,Jill Stein,1,2,3
Delta,3055415012,President,,S,Stewart Alexander,0,1,1
Delta,3055415012,President,,J,Ross Anderson,0,0,0
Delta,3055415012,President,,PFP,Roseanne Barr,0,1,1
Delta,3055415012,President,,SW,James Harris,0,0,0
Delta,3055415012,President,,AIP,Tom Hoefling,0,0,0
Delta,3055415012,President,,SAL,Gloria LaRiva,0,0,0
Delta,3055415012,President,,ATP,Merlin Miller,0,0,0
Delta,3055415012,President,,UNA,Jill Reed,0,0,0
Delta,3055415012,President,,OBJ,Thomas Stevens,0,0,0
Delta,3055415012,President,,WTP,Sheila Tittle,1,0,1
Delta,3055415012,President,,SEP,Jerry White,0,0,0
Delta,3055415012,U.S. House,3,D,Sal Pace,115,12,127
Delta,3055415012,U.S. House,3,R,Scott Tipton,365,79,444
Delta,3055415012,U.S. House,3,L,Gregory Gilman,10,3,13
Delta,3055415012,U.S. House,3,UNA,Tisha Casida,11,4,15
Delta,3055415012,U.S. House,3,wri,Jaime McMillan,0,1,1
Delta,3055415012,State House,61,AC,Robert Petrowsky,13,4,17
Delta,3055415012,State House,61,R,Debra Irvine,288,68,356
Delta,3055415012,State House,61,D,Millie Hamner,125,12,137
Delta,3055415012,State House,61,L,Ellen Temby,8,3,11
Delta,3055415012,State House,61,UNA,Kathleen Curry,43,7,50
Delta,3055415013,Voters,,,Ballots,671,117,788
Delta,3055415013,President,,AC,Virgil Goode,2,0,2
Delta,3055415013,President,,D,Barack Obama,171,26,197
Delta,3055415013,President,,R,Mitt Romney,491,83,574
Delta,3055415013,President,,L,Gary Johnson,3,5,8
Delta,3055415013,President,,G,Jill Stein,0,0,0
Delta,3055415013,President,,S,Stewart Alexander,0,0,0
Delta,3055415013,President,,J,Ross Anderson,0,0,0
Delta,3055415013,President,,PFP,Roseanne Barr,0,0,0
Delta,3055415013,President,,SW,James Harris,0,0,0
Delta,3055415013,President,,AIP,Tom Hoefling,0,0,0
Delta,3055415013,President,,SAL,Gloria LaRiva,0,0,0
Delta,3055415013,President,,ATP,Merlin Miller,0,0,0
Delta,3055415013,President,,UNA,Jill Reed,0,0,0
Delta,3055415013,President,,OBJ,Thomas Stevens,0,0,0
Delta,3055415013,President,,WTP,Sheila Tittle,0,1,1
Delta,3055415013,President,,SEP,Jerry White,0,0,0
Delta,3055415013,U.S. House,3,D,Sal Pace,150,25,175
Delta,3055415013,U.S. House,3,R,Scott Tipton,481,85,566
Delta,3055415013,U.S. House,3,L,Gregory Gilman,12,4,16
Delta,3055415013,U.S. House,3,UNA,Tisha Casida,20,2,22
Delta,3055415013,State House,61,AC,Robert Petrowsky,15,4,19
Delta,3055415013,State House,61,R,Debra Irvine,401,72,473
Delta,3055415013,State House,61,D,Millie Hamner,134,24,158
Delta,3055415013,State House,61,L,Ellen Temby,13,6,19
Delta,3055415013,State House,61,UNA,Kathleen Curry,74,5,79
Delta,3055415014,Voters,,,Ballots,827,115,942
Delta,3055415014,President,,AC,Virgil Goode,7,0,7
Delta,3055415014,President,,D,Barack Obama,227,24,251
Delta,3055415014,President,,R,Mitt Romney,567,88,655
Delta,3055415014,President,,L,Gary Johnson,5,2,7
Delta,3055415014,President,,G,Jill Stein,3,1,4
Delta,3055415014,President,,S,Stewart Alexander,0,0,0
Delta,3055415014,President,,J,Ross Anderson,1,0,1
Delta,3055415014,President,,PFP,Roseanne Barr,2,0,2
Delta,3055415014,President,,SW,James Harris,0,0,0
Delta,3055415014,President,,AIP,Tom Hoefling,0,0,0
Delta,3055415014,President,,SAL,Gloria LaRiva,0,0,0
Delta,3055415014,President,,ATP,Merlin Miller,2,0,2
Delta,3055415014,President,,UNA,Jill Reed,3,0,3
Delta,3055415014,President,,OBJ,Thomas Stevens,0,0,0
Delta,3055415014,President,,WTP,Sheila Tittle,0,0,0
Delta,3055415014,President,,SEP,Jerry White,0,0,0
Delta,3055415014,U.S. House,3,D,Sal Pace,204,23,227
Delta,3055415014,U.S. House,3,R,Scott Tipton,562,83,645
Delta,3055415014,U.S. House,3,L,Gregory Gilman,17,3,20
Delta,3055415014,U.S. House,3,UNA,Tisha Casida,23,5,28
Delta,3055415014,State House,61,AC,Robert Petrowsky,24,5,29
Delta,3055415014,State House,61,R,Debra Irvine,440,68,508
Delta,3055415014,State House,61,D,Millie Hamner,193,22,215
Delta,3055415014,State House,61,L,Ellen Temby,21,2,23
Delta,3055415014,State House,61,UNA,Kathleen Curry,103,15,118
Delta,3055415015,Voters,,,Ballots,908,155,1063
Delta,3055415015,President,,AC,Virgil Goode,3,1,4
Delta,3055415015,President,,D,Barack Obama,294,40,334
Delta,3055415015,President,,R,Mitt Romney,582,105,687
Delta,3055415015,President,,L,Gary Johnson,6,4,10
Delta,3055415015,President,,G,Jill Stein,5,1,6
Delta,3055415015,President,,S,Stewart Alexander,0,0,0
Delta,3055415015,President,,J,Ross Anderson,2,0,2
Delta,3055415015,President,,PFP,Roseanne Barr,2,0,2
Delta,3055415015,President,,SW,James Harris,0,0,0
Delta,3055415015,President,,AIP,Tom Hoefling,0,0,0
Delta,3055415015,President,,SAL,Gloria LaRiva,0,0,0
Delta,3055415015,President,,ATP,Merlin Miller,0,0,0
Delta,3055415015,President,,UNA,Jill Reed,1,0,1
Delta,3055415015,President,,OBJ,Thomas Stevens,0,0,0
Delta,3055415015,President,,WTP,Sheila Tittle,0,0,0
Delta,3055415015,President,,SEP,Jerry White,1,0,1
Delta,3055415015,U.S. House,3,D,Sal Pace,272,35,307
Delta,3055415015,U.S. House,3,R,Scott Tipton,566,102,668
Delta,3055415015,U.S. House,3,L,Gregory Gilman,12,7,19
Delta,3055415015,U.S. House,3,UNA,Tisha Casida,31,6,37
Delta,3055415015,State House,61,AC,Robert Petrowsky,24,12,36
Delta,3055415015,State House,61,R,Debra Irvine,428,78,506
Delta,3055415015,State House,61,D,Millie Hamner,247,32,279
Delta,3055415015,State House,61,L,Ellen Temby,14,7,21
Delta,3055415015,State House,61,UNA,Kathleen Curry,154,17,171
Delta,3055415016,Voters,,,Ballots,705,145,850
Delta,3055415016,President,,AC,Virgil Goode,2,0,2
Delta,3055415016,President,,D,Barack Obama,204,38,242
Delta,3055415016,President,,R,Mitt Romney,484,102,586
Delta,3055415016,President,,L,Gary Johnson,3,2,5
Delta,3055415016,President,,G,Jill Stein,2,3,5
Delta,3055415016,President,,S,Stewart Alexander,0,0,0
Delta,3055415016,President,,J,Ross Anderson,0,0,0
Delta,3055415016,President,,PFP,Roseanne Barr,1,0,1
Delta,3055415016,President,,SW,James Harris,0,0,0
Delta,3055415016,President,,AIP,Tom Hoefling,0,0,0
Delta,3055415016,President,,SAL,Gloria LaRiva,0,0,0
Delta,3055415016,President,,ATP,Merlin Miller,0,0,0
Delta,3055415016,President,,UNA,Jill Reed,0,1,1
Delta,3055415016,President,,OBJ,Thomas Stevens,0,0,0
Delta,3055415016,President,,WTP,Sheila Tittle,0,0,0
Delta,3055415016,President,,SEP,Jerry White,0,0,0
Delta,3055415016,U.S. House,3,D,Sal Pace,186,37,223
Delta,3055415016,U.S. House,3,R,Scott Tipton,470,95,565
Delta,3055415016,U.S. House,3,L,Gregory Gilman,12,5,17
Delta,3055415016,U.S. House,3,UNA,Tisha Casida,19,3,22
Delta,3055415016,State House,61,AC,Robert Petrowsky,24,7,31
Delta,3055415016,State House,61,R,Debra Irvine,369,72,441
Delta,3055415016,State House,61,D,Millie Hamner,175,35,210
Delta,3055415016,State House,61,L,Ellen Temby,10,4,14
Delta,3055415016,State House,61,UNA,Kathleen Curry,84,19,103
Delta,3055415017,Voters,,,Ballots,636,124,760
Delta,3055415017,President,,AC,Virgil Goode,4,1,5
Delta,3055415017,President,,D,Barack Obama,189,29,218
Delta,3055415017,President,,R,Mitt Romney,424,89,513
Delta,3055415017,President,,L,Gary Johnson,6,1,7
Delta,3055415017,President,,G,Jill Stein,3,0,3
Delta,3055415017,President,,S,Stewart Alexander,1,0,1
Delta,3055415017,President,,J,Ross Anderson,0,0,0
Delta,3055415017,President,,PFP,Roseanne Barr,4,0,4
Delta,3055415017,President,,SW,James Harris,0,0,0
Delta,3055415017,President,,AIP,Tom Hoefling,0,0,0
Delta,3055415017,President,,SAL,Gloria LaRiva,0,0,0
Delta,3055415017,President,,ATP,Merlin Miller,0,0,0
Delta,3055415017,President,,UNA,Jill Reed,0,0,0
Delta,3055415017,President,,OBJ,Thomas Stevens,0,0,0
Delta,3055415017,President,,WTP,Sheila Tittle,0,0,0
Delta,3055415017,President,,SEP,Jerry White,0,1,1
Delta,3055415017,U.S. House,3,D,Sal Pace,167,27,194
Delta,3055415017,U.S. House,3,R,Scott Tipton,423,81,504
Delta,3055415017,U.S. House,3,L,Gregory Gilman,14,7,21
Delta,3055415017,U.S. House,3,UNA,Tisha Casida,13,5,18
Delta,3055415017,State House,61,AC,Robert Petrowsky,23,4,27
Delta,3055415017,State House,61,R,Debra Irvine,325,68,393
Delta,3055415017,State House,61,D,Millie Hamner,150,27,177
Delta,3055415017,State House,61,L,Ellen Temby,15,4,19
Delta,3055415017,State House,61,UNA,Kathleen Curry,86,12,98
Delta,3055415018,Voters,,,Ballots,748,163,911
Delta,3055415018,President,,AC,Virgil Goode,3,1,4
Delta,3055415018,President,,D,Barack Obama,293,54,347
Delta,3055415018,President,,R,Mitt Romney,440,100,540
Delta,3055415018,President,,L,Gary Johnson,7,2,9
Delta,3055415018,President,,G,Jill Stein,0,1,1
Delta,3055415018,President,,S,Stewart Alexander,0,0,0
Delta,3055415018,President,,J,Ross Anderson,0,0,0
Delta,3055415018,President,,PFP,Roseanne Barr,1,2,3
Delta,3055415018,President,,SW,James Harris,0,0,0
Delta,3055415018,President,,AIP,Tom Hoefling,0,0,0
Delta,3055415018,President,,SAL,Gloria LaRiva,0,0,0
Delta,3055415018,President,,ATP,Merlin Miller,0,0,0
Delta,3055415018,President,,UNA,Jill Reed,1,1,2
Delta,3055415018,President,,OBJ,Thomas Stevens,0,0,0
Delta,3055415018,President,,WTP,Sheila Tittle,0,0,0
Delta,3055415018,President,,SEP,Jerry White,0,0,0
Delta,3055415018,U.S. House,3,D,Sal Pace,271,50,321
Delta,3055415018,U.S. House,3,R,Scott Tipton,447,101,548
Delta,3055415018,U.S. House,3,L,Gregory Gilman,8,3,11
Delta,3055415018,U.S. House,3,UNA,Tisha Casida,10,4,14
Delta,3055415018,State House,61,AC,Robert Petrowsky,10,1,11
Delta,3055415018,State House,61,R,Debra Irvine,353,87,440
Delta,3055415018,State House,61,D,Millie Hamner,246,46,292
Delta,3055415018,State House,61,L,Ellen Temby,8,3,11
Delta,3055415018,State House,61,UNA,Kathleen Curry,101,19,120
Delta,3055415019,Voters,,,Ballots,498,141,639
Delta,3055415019,President,,AC,Virgil Goode,2,0,2
Delta,3055415019,President,,D,Barack Obama,246,67,313
Delta,3055415019,President,,R,Mitt Romney,229,66,295
Delta,3055415019,President,,L,Gary Johnson,4,2,6
Delta,3055415019,President,,G,Jill Stein,5,3,8
Delta,3055415019,President,,S,Stewart Alexander,0,0,0
Delta,3055415019,President,,J,Ross Anderson,1,0,1
Delta,3055415019,President,,PFP,Roseanne Barr,1,1,2
Delta,3055415019,President,,SW,James Harris,0,0,0
Delta,3055415019,President,,AIP,Tom Hoefling,1,0,1
Delta,3055415019,President,,SAL,Gloria LaRiva,0,0,0
Delta,3055415019,President,,ATP,Merlin Miller,0,0,0
Delta,3055415019,President,,UNA,Jill Reed,3,0,3
Delta,3055415019,President,,OBJ,Thomas Stevens,0,0,0
Delta,3055415019,President,,WTP,Sheila Tittle,0,1,1
Delta,3055415019,President,,SEP,Jerry White,0,0,0
Delta,3055415019,U.S. House,3,D,Sal Pace,227,72,299
Delta,3055415019,U.S. House,3,R,Scott Tipton,231,59,290
