county,office,,party,candidate,votes,,,
ARCHULETA,U.S. Senate,,DEM,Tom Strickland,1404,,,
BACA,U.S. Senate,,DEM,Tom Strickland,629,,,
BENT,U.S. Senate,,DEM,Tom Strickland,777,,,
BOULDER,U.S. Senate,,DEM,Tom Strickland,66407,,,
BROOMFIELD,U.S. Senate,,DEM,Tom Strickland,6327,,,
CHAFFEE,U.S. Senate,,DEM,Tom Strickland,2797,,,
CHEYENNE,U.S. Senate,,DEM,Tom Strickland,242,,,
CLEAR CREEK,U.S. Senate,,DEM,Tom Strickland,1962,,,
CONEJOS,U.S. Senate,,DEM,Tom Strickland,1478,,,
COSTILLA,U.S. Senate,,DEM,Tom Strickland,957,,,
CROWLEY,U.S. Senate,,DEM,Tom Strickland,411,,,
CUSTER,U.S. Senate,,DEM,Tom Strickland,566,,,
DELTA,U.S. Senate,,DEM,Tom Strickland,3734,,,
DENVER,U.S. Senate,,DEM,Tom Strickland,103677,,,
DOLORES,U.S. Senate,,DEM,Tom Strickland,314,,,
DOUGLAS,U.S. Senate,,DEM,Tom Strickland,23852,,,
EAGLE,U.S. Senate,,DEM,Tom Strickland,5629,,,
ELBERT,U.S. Senate,,DEM,Tom Strickland,2295,,,
EL PASO,U.S. Senate,,DEM,Tom Strickland,46617,,,
FREMONT,U.S. Senate,,DEM,Tom Strickland,4930,,,
GARFIELD,U.S. Senate,,DEM,Tom Strickland,6223,,,
GILPIN,U.S. Senate,,DEM,Tom Strickland,1209,,,
GRAND,U.S. Senate,,DEM,Tom Strickland,1963,,,
GUNNISON,U.S. Senate,,DEM,Tom Strickland,2844,,,
HINSDALE,U.S. Senate,,DEM,Tom Strickland,194,,,
HUERFANO,U.S. Senate,,DEM,Tom Strickland,1384,,,
JACKSON,U.S. Senate,,DEM,Tom Strickland,200,,,
JEFFERSON,U.S. Senate,,DEM,Tom Strickland,86278,,,
KIOWA,U.S. Senate,,DEM,Tom Strickland,252,,,
KIT CARSON,U.S. Senate,,DEM,Tom Strickland,860,,,
LAKE,U.S. Senate,,DEM,Tom Strickland,1229,,,
LARIMER,U.S. Senate,,DEM,Tom Strickland,40642,,,
LAS ANIMAS,U.S. Senate,,DEM,Tom Strickland,2673,,,
LA PLATA,U.S. Senate,,DEM,Tom Strickland,8016,,,
LINCOLN,U.S. Senate,,DEM,Tom Strickland,550,,,
LOGAN,U.S. Senate,,DEM,Tom Strickland,2139,,,
MESA,U.S. Senate,,DEM,Tom Strickland,14710,,,
MINERAL,U.S. Senate,,DEM,Tom Strickland,183,,,
MOFFAT,U.S. Senate,,DEM,Tom Strickland,1366,,,
MONTEZUMA,U.S. Senate,,DEM,Tom Strickland,2924,,,
MONTROSE,U.S. Senate,,DEM,Tom Strickland,4097,,,
MORGAN,U.S. Senate,,DEM,Tom Strickland,2562,,,
OTERO,U.S. Senate,,DEM,Tom Strickland,2423,,,
OURAY,U.S. Senate,,DEM,Tom Strickland,796,,,
PARK,U.S. Senate,,DEM,Tom Strickland,2230,,,
PHILLIPS,U.S. Senate,,DEM,Tom Strickland,570,,,
PITKIN,U.S. Senate,,DEM,Tom Strickland,3935,,,
PROWERS,U.S. Senate,,DEM,Tom Strickland,1256,,,
PUEBLO,U.S. Senate,,DEM,Tom Strickland,26870,,,
RIO BLANCO,U.S. Senate,,DEM,Tom Strickland,616,,,
RIO GRANDE,U.S. Senate,,DEM,Tom Strickland,1655,,,
ROUTT,U.S. Senate,,DEM,Tom Strickland,3889,,,
SAGUACHE,U.S. Senate,,DEM,Tom Strickland,1016,,,
SAN JUAN,U.S. Senate,,DEM,Tom Strickland,186,,,
SAN MIGUEL,U.S. Senate,,DEM,Tom Strickland,1644,,,
SEDGWICK,U.S. Senate,,DEM,Tom Strickland,360,,,
SUMMIT,U.S. Senate,,DEM,Tom Strickland,4450,,,
TELLER,U.S. Senate,,DEM,Tom Strickland,2456,,,
WASHINGTON,U.S. Senate,,DEM,Tom Strickland,468,,,
WELD,U.S. Senate,,DEM,Tom Strickland,20413,,,
YUMA,U.S. Senate,,DEM,Tom Strickland,1036,,,
TOTALS,U.S. Senate,,DEM,Tom Strickland,648130,,,
ADAMS,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",1811,,,
ALAMOSA,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",118,,,
ARAPAHOE,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",1922,,,
ARCHULETA,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",113,,,
BACA,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",46,,,
BENT,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",50,,,
BOULDER,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",911,,,
BROOMFIELD,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",199,,,
CHAFFEE,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",109,,,
CHEYENNE,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",32,,,
CLEAR CREEK,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",79,,,
CONEJOS,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",95,,,
COSTILLA,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",71,,,
CROWLEY,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",43,,,
CUSTER,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",46,,,
DELTA,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",272,,,
DENVER,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",1688,,,
DOLORES,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",22,,,
DOUGLAS,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",749,,,
EAGLE,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",197,,,
ELBERT,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",114,,,
EL PASO,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",2183,,,
FREMONT,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",381,,,
GARFIELD,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",276,,,
GILPIN,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",83,,,
GRAND,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",96,,,
GUNNISON,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",115,,,
HINSDALE,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",19,,,
HUERFANO,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",83,,,
JACKSON,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",28,,,
JEFFERSON,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",2881,,,
KIOWA,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",13,,,
KIT CARSON,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",74,,,
LAKE,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",72,,,
LARIMER,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",1212,,,
LAS ANIMAS,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",125,,,
LA PLATA,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",243,,,
LINCOLN,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",25,,,
LOGAN,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",141,,,
MESA,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",981,,,
MINERAL,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",14,,,
MOFFAT,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",149,,,
MONTEZUMA,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",143,,,
MONTROSE,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",328,,,
MORGAN,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",132,,,
OTERO,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",108,,,
OURAY,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",23,,,
PARK,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",145,,,
PHILLIPS,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",20,,,
PITKIN,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",68,,,
PROWERS,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",52,,,
PUEBLO,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",935,,,
RIO BLANCO,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",56,,,
RIO GRANDE,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",103,,,
ROUTT,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",106,,,
SAGUACHE,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",47,,,
SAN JUAN,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",19,,,
SAN MIGUEL,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",28,,,
SEDGWICK,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",25,,,
SUMMIT,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",119,,,
TELLER,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",163,,,
WASHINGTON,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",25,,,
WELD,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",966,,,
YUMA,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",55,,,
TOTALS,U.S. Senate,,ACP,"Douglas ""Dayhorse"" Campbell",21547,,,
ADAMS,U.S. Senate,,LIB,Rick Stanley,1494,,,
ALAMOSA,U.S. Senate,,LIB,Rick Stanley,64,,,
ARAPAHOE,U.S. Senate,,LIB,Rick Stanley,2062,,,
ARCHULETA,U.S. Senate,,LIB,Rick Stanley,34,,,
BACA,U.S. Senate,,LIB,Rick Stanley,17,,,
BENT,U.S. Senate,,LIB,Rick Stanley,26,,,
BOULDER,U.S. Senate,,LIB,Rick Stanley,1822,,,
BROOMFIELD,U.S. Senate,,LIB,Rick Stanley,202,,,
CHAFFEE,U.S. Senate,,LIB,Rick Stanley,100,,,
CHEYENNE,U.S. Senate,,LIB,Rick Stanley,3,,,
CLEAR CREEK,U.S. Senate,,LIB,Rick Stanley,91,,,
CONEJOS,U.S. Senate,,LIB,Rick Stanley,14,,,
COSTILLA,U.S. Senate,,LIB,Rick Stanley,17,,,
CROWLEY,U.S. Senate,,LIB,Rick Stanley,12,,,
CUSTER,U.S. Senate,,LIB,Rick Stanley,26,,,
DELTA,U.S. Senate,,LIB,Rick Stanley,230,,,
DENVER,U.S. Senate,,LIB,Rick Stanley,2090,,,
DOLORES,U.S. Senate,,LIB,Rick Stanley,13,,,
DOUGLAS,U.S. Senate,,LIB,Rick Stanley,804,,,
EAGLE,U.S. Senate,,LIB,Rick Stanley,133,,,
ELBERT,U.S. Senate,,LIB,Rick Stanley,77,,,
EL PASO,U.S. Senate,,LIB,Rick Stanley,2537,,,
FREMONT,U.S. Senate,,LIB,Rick Stanley,205,,,
GARFIELD,U.S. Senate,,LIB,Rick Stanley,200,,,
GILPIN,U.S. Senate,,LIB,Rick Stanley,76,,,
GRAND,U.S. Senate,,LIB,Rick Stanley,82,,,
GUNNISON,U.S. Senate,,LIB,Rick Stanley,114,,,
HINSDALE,U.S. Senate,,LIB,Rick Stanley,19,,,
HUERFANO,U.S. Senate,,LIB,Rick Stanley,21,,,
JACKSON,U.S. Senate,,LIB,Rick Stanley,12,,,
JEFFERSON,U.S. Senate,,LIB,Rick Stanley,2987,,,
KIOWA,U.S. Senate,,LIB,Rick Stanley,5,,,
KIT CARSON,U.S. Senate,,LIB,Rick Stanley,25,,,
LAKE,U.S. Senate,,LIB,Rick Stanley,57,,,
LARIMER,U.S. Senate,,LIB,Rick Stanley,1166,,,
LAS ANIMAS,U.S. Senate,,LIB,Rick Stanley,65,,,
LA PLATA,U.S. Senate,,LIB,Rick Stanley,202,,,
LINCOLN,U.S. Senate,,LIB,Rick Stanley,18,,,
LOGAN,U.S. Senate,,LIB,Rick Stanley,44,,,
MESA,U.S. Senate,,LIB,Rick Stanley,933,,,
MINERAL,U.S. Senate,,LIB,Rick Stanley,6,,,
MOFFAT,U.S. Senate,,LIB,Rick Stanley,55,,,
MONTEZUMA,U.S. Senate,,LIB,Rick Stanley,87,,,
MONTROSE,U.S. Senate,,LIB,Rick Stanley,253,,,
MORGAN,U.S. Senate,,LIB,Rick Stanley,72,,,
OTERO,U.S. Senate,,LIB,Rick Stanley,51,,,
OURAY,U.S. Senate,,LIB,Rick Stanley,30,,,
PARK,U.S. Senate,,LIB,Rick Stanley,165,,,
PHILLIPS,U.S. Senate,,LIB,Rick Stanley,21,,,
PITKIN,U.S. Senate,,LIB,Rick Stanley,100,,,
PROWERS,U.S. Senate,,LIB,Rick Stanley,25,,,
PUEBLO,U.S. Senate,,LIB,Rick Stanley,483,,,
RIO BLANCO,U.S. Senate,,LIB,Rick Stanley,32,,,
RIO GRANDE,U.S. Senate,,LIB,Rick Stanley,46,,,
ROUTT,U.S. Senate,,LIB,Rick Stanley,111,,,
SAGUACHE,U.S. Senate,,LIB,Rick Stanley,32,,,
SAN JUAN,U.S. Senate,,LIB,Rick Stanley,14,,,
SAN MIGUEL,U.S. Senate,,LIB,Rick Stanley,66,,,
SEDGWICK,U.S. Senate,,LIB,Rick Stanley,12,,,
SUMMIT,U.S. Senate,,LIB,Rick Stanley,131,,,
TELLER,U.S. Senate,,LIB,Rick Stanley,171,,,
WASHINGTON,U.S. Senate,,LIB,Rick Stanley,24,,,
WELD,U.S. Senate,,LIB,Rick Stanley,669,,,
YUMA,U.S. Senate,,LIB,Rick Stanley,21,,,
TOTALS,U.S. Senate,,LIB,Rick Stanley,20776,,,
ADAMS,U.S. Senate,,COP,John Heckman,421,,,
ALAMOSA,U.S. Senate,,COP,John Heckman,15,,,
ARAPAHOE,U.S. Senate,,COP,John Heckman,728,,,
ARCHULETA,U.S. Senate,,COP,John Heckman,6,,,
BACA,U.S. Senate,,COP,John Heckman,14,,,
BENT,U.S. Senate,,COP,John Heckman,21,,,
BOULDER,U.S. Senate,,COP,John Heckman,382,,,
BROOMFIELD,U.S. Senate,,COP,John Heckman,69,,,
CHAFFEE,U.S. Senate,,COP,John Heckman,49,,,
CHEYENNE,U.S. Senate,,COP,John Heckman,6,,,
CLEAR CREEK,U.S. Senate,,COP,John Heckman,22,,,
CONEJOS,U.S. Senate,,COP,John Heckman,22,,,
COSTILLA,U.S. Senate,,COP,John Heckman,12,,,
CROWLEY,U.S. Senate,,COP,John Heckman,8,,,
CUSTER,U.S. Senate,,COP,John Heckman,14,,,
DELTA,U.S. Senate,,COP,John Heckman,40,,,
DENVER,U.S. Senate,,COP,John Heckman,680,,,
DOLORES,U.S. Senate,,COP,John Heckman,5,,,
DOUGLAS,U.S. Senate,,COP,John Heckman,132,,,
EAGLE,U.S. Senate,,COP,John Heckman,66,,,
ELBERT,U.S. Senate,,COP,John Heckman,32,,,
EL PASO,U.S. Senate,,COP,John Heckman,736,,,
FREMONT,U.S. Senate,,COP,John Heckman,93,,,
GARFIELD,U.S. Senate,,COP,John Heckman,83,,,
GILPIN,U.S. Senate,,COP,John Heckman,29,,,
GRAND,U.S. Senate,,COP,John Heckman,30,,,
GUNNISON,U.S. Senate,,COP,John Heckman,50,,,
HINSDALE,U.S. Senate,,COP,John Heckman,1,,,
HUERFANO,U.S. Senate,,COP,John Heckman,16,,,
JACKSON,U.S. Senate,,COP,John Heckman,4,,,
JEFFERSON,U.S. Senate,,COP,John Heckman,1405,,,
KIOWA,U.S. Senate,,COP,John Heckman,2,,,
KIT CARSON,U.S. Senate,,COP,John Heckman,14,,,
LAKE,U.S. Senate,,COP,John Heckman,17,,,
LARIMER,U.S. Senate,,COP,John Heckman,435,,,
LAS ANIMAS,U.S. Senate,,COP,John Heckman,32,,,
LA PLATA,U.S. Senate,,COP,John Heckman,33,,,
LINCOLN,U.S. Senate,,COP,John Heckman,6,,,
LOGAN,U.S. Senate,,COP,John Heckman,20,,,
MESA,U.S. Senate,,COP,John Heckman,265,,,
MINERAL,U.S. Senate,,COP,John Heckman,1,,,
MOFFAT,U.S. Senate,,COP,John Heckman,30,,,
MONTEZUMA,U.S. Senate,,COP,John Heckman,9,,,
MONTROSE,U.S. Senate,,COP,John Heckman,96,,,
MORGAN,U.S. Senate,,COP,John Heckman,37,,,
OTERO,U.S. Senate,,COP,John Heckman,34,,,
OURAY,U.S. Senate,,COP,John Heckman,5,,,
PARK,U.S. Senate,,COP,John Heckman,39,,,
PHILLIPS,U.S. Senate,,COP,John Heckman,6,,,
PITKIN,U.S. Senate,,COP,John Heckman,24,,,
PROWERS,U.S. Senate,,COP,John Heckman,25,,,
PUEBLO,U.S. Senate,,COP,John Heckman,312,,,
RIO BLANCO,U.S. Senate,,COP,John Heckman,7,,,
RIO GRANDE,U.S. Senate,,COP,John Heckman,38,,,
ROUTT,U.S. Senate,,COP,John Heckman,41,,,
SAGUACHE,U.S. Senate,,COP,John Heckman,13,,,
SAN JUAN,U.S. Senate,,COP,John Heckman,4,,,
SAN MIGUEL,U.S. Senate,,COP,John Heckman,9,,,
SEDGWICK,U.S. Senate,,COP,John Heckman,5,,,
SUMMIT,U.S. Senate,,COP,John Heckman,69,,,
TELLER,U.S. Senate,,COP,John Heckman,14,,,
WASHINGTON,U.S. Senate,,COP,John Heckman,6,,,
WELD,U.S. Senate,,COP,John Heckman,289,,,
YUMA,U.S. Senate,,COP,John Heckman,12,,,
TOTALS,U.S. Senate,,COP,John Heckman,7140,,,
ADAMS,U.S. Senate,,Write-in,Gary Cooper,107,,,
ALAMOSA,U.S. Senate,,Write-in,Gary Cooper,8,,,
ARAPAHOE,U.S. Senate,,Write-in,Gary Cooper,1,,,
ARCHULETA,U.S. Senate,,Write-in,Gary Cooper,0,,,
BACA,U.S. Senate,,Write-in,Gary Cooper,3,,,
BENT,U.S. Senate,,Write-in,Gary Cooper,0,,,
BOULDER,U.S. Senate,,Write-in,Gary Cooper,0,,,
BROOMFIELD,U.S. Senate,,Write-in,Gary Cooper,1,,,
CHAFFEE,U.S. Senate,,Write-in,Gary Cooper,0,,,
CHEYENNE,U.S. Senate,,Write-in,Gary Cooper,0,,,
CLEAR CREEK,U.S. Senate,,Write-in,Gary Cooper,0,,,
CONEJOS,U.S. Senate,,Write-in,Gary Cooper,0,,,
COSTILLA,U.S. Senate,,Write-in,Gary Cooper,1,,,
CROWLEY,U.S. Senate,,Write-in,Gary Cooper,0,,,
CUSTER,U.S. Senate,,Write-in,Gary Cooper,0,,,
DELTA,U.S. Senate,,Write-in,Gary Cooper,13,,,
DENVER,U.S. Senate,,Write-in,Gary Cooper,0,,,
DOLORES,U.S. Senate,,Write-in,Gary Cooper,0,,,
DOUGLAS,U.S. Senate,,Write-in,Gary Cooper,85,,,
EAGLE,U.S. Senate,,Write-in,Gary Cooper,0,,,
ELBERT,U.S. Senate,,Write-in,Gary Cooper,0,,,
EL PASO,U.S. Senate,,Write-in,Gary Cooper,1,,,
FREMONT,U.S. Senate,,Write-in,Gary Cooper,1,,,
GARFIELD,U.S. Senate,,Write-in,Gary Cooper,1,,,
GILPIN,U.S. Senate,,Write-in,Gary Cooper,0,,,
GRAND,U.S. Senate,,Write-in,Gary Cooper,0,,,
GUNNISON,U.S. Senate,,Write-in,Gary Cooper,0,,,
HINSDALE,U.S. Senate,,Write-in,Gary Cooper,0,,,
HUERFANO,U.S. Senate,,Write-in,Gary Cooper,0,,,
JACKSON,U.S. Senate,,Write-in,Gary Cooper,0,,,
JEFFERSON,U.S. Senate,,Write-in,Gary Cooper,171,,,
KIOWA,U.S. Senate,,Write-in,Gary Cooper,0,,,
KIT CARSON,U.S. Senate,,Write-in,Gary Cooper,0,,,
LAKE,U.S. Senate,,Write-in,Gary Cooper,6,,,
LARIMER,U.S. Senate,,Write-in,Gary Cooper,14,,,
LAS ANIMAS,U.S. Senate,,Write-in,Gary Cooper,6,,,
LA PLATA,U.S. Senate,,Write-in,Gary Cooper,8,,,
LINCOLN,U.S. Senate,,Write-in,Gary Cooper,0,,,
LOGAN,U.S. Senate,,Write-in,Gary Cooper,1,,,
MESA,U.S. Senate,,Write-in,Gary Cooper,39,,,
MINERAL,U.S. Senate,,Write-in,Gary Cooper,0,,,
MOFFAT,U.S. Senate,,Write-in,Gary Cooper,9,,,
MONTEZUMA,U.S. Senate,,Write-in,Gary Cooper,3,,,
MONTROSE,U.S. Senate,,Write-in,Gary Cooper,0,,,
MORGAN,U.S. Senate,,Write-in,Gary Cooper,0,,,
OTERO,U.S. Senate,,Write-in,Gary Cooper,10,,,
OURAY,U.S. Senate,,Write-in,Gary Cooper,0,,,
PARK,U.S. Senate,,Write-in,Gary Cooper,1,,,
PHILLIPS,U.S. Senate,,Write-in,Gary Cooper,0,,,
PITKIN,U.S. Senate,,Write-in,Gary Cooper,0,,,
PROWERS,U.S. Senate,,Write-in,Gary Cooper,0,,,
PUEBLO,U.S. Senate,,Write-in,Gary Cooper,34,,,
RIO BLANCO,U.S. Senate,,Write-in,Gary Cooper,0,,,
RIO GRANDE,U.S. Senate,,Write-in,Gary Cooper,3,,,
ROUTT,U.S. Senate,,Write-in,Gary Cooper,0,,,
SAGUACHE,U.S. Senate,,Write-in,Gary Cooper,0,,,
SAN JUAN,U.S. Senate,,Write-in,Gary Cooper,0,,,
SAN MIGUEL,U.S. Senate,,Write-in,Gary Cooper,0,,,
SEDGWICK,U.S. Senate,,Write-in,Gary Cooper,0,,,
SUMMIT,U.S. Senate,,Write-in,Gary Cooper,0,,,
TELLER,U.S. Senate,,Write-in,Gary Cooper,0,,,
WASHINGTON,U.S. Senate,,Write-in,Gary Cooper,0,,,
WELD,U.S. Senate,,Write-in,Gary Cooper,65,,,
YUMA,U.S. Senate,,Write-in,Gary Cooper,3,,,
TOTALS,U.S. Senate,,Write-in,Gary Cooper,595,,,
ADAMS,U.S. Senate,,,,84358,,,
ALAMOSA,U.S. Senate,,,,4649,,,
ARAPAHOE,U.S. Senate,,,,152562,,,
ARCHULETA,U.S. Senate,,,,3958,,,
BACA,U.S. Senate,,,,2185,,,
BENT,U.S. Senate,,,,1883,,,
BOULDER,U.S. Senate,,,,106433,,,
BROOMFIELD,U.S. Senate,,,,14174,,,
CHAFFEE,U.S. Senate,,,,6917,,,
CHEYENNE,U.S. Senate,,,,1070,,,
CLEAR CREEK,U.S. Senate,,,,4031,,,
CONEJOS,U.S. Senate,,,,3171,,,
COSTILLA,U.S. Senate,,,,1557,,,
CROWLEY,U.S. Senate,,,,1304,,,
CUSTER,U.S. Senate,,,,1970,,,
DELTA,U.S. Senate,,,,11065,,,
DENVER,U.S. Senate,,,,154598,,,
DOLORES,U.S. Senate,,,,857,,,
DOUGLAS,U.S. Senate,,,,74239,,,
EAGLE,U.S. Senate,,,,11710,,,
ELBERT,U.S. Senate,,,,8029,,,
EL PASO,U.S. Senate,,,,153032,,,
FREMONT,U.S. Senate,,,,13951,,,
GARFIELD,U.S. Senate,,,,13840,,,
