county,precinct,office,district,candidate,party,votes,total_ballots,reg_voters
Dolores,1,Brian D. Boatright,,No,,28,125,258
Dolores,1,Monica M. Marquezs,,Yes,,64,125,258
Dolores,1,Monica M. Marquezs,,No,,28,125,258
Dolores,1,Terry Fox,,Yes,,61,125,258
Dolores,1,Terry Fox,,No,,26,125,258
Dolores,1,Alan M. Loeb,,Yes,,60,125,258
Dolores,1,Alan M. Loeb,,No,,27,125,258
Dolores,1,Amendment 67 (CONSTITUTIONAL),,YES/FOR,,19,125,258
Dolores,1,Amendment 67 (CONSTITUTIONAL),,NO/AGAINST,,100,125,258
Dolores,1,Amendment 68 (CONSTITUTIONAL),,YES/FOR,,58,125,258
Dolores,1,Amendment 68 (CONSTITUTIONAL),,NO/AGAINST,,62,125,258
Dolores,1,Proposition 104 (STATUTORY),,YES/FOR,,78,125,258
Dolores,1,Proposition 104 (STATUTORY),,NO/AGAINST,,37,125,258
Dolores,1,Proposition 105 (STATUTORY),,YES/FOR,,74,125,258
Dolores,1,Proposition 105 (STATUTORY),,NO/AGAINST,,45,125,258
Dolores,1,Question 6A Regulation of Retail Marijuana withir YES,,,,48,125,258
Dolores,1,Question 6A Regulation of Retail Marijuana withir NO,,,,40,125,258
Dolores,1,Question 6B Taxation of Retail Marijuana within t YES,,,,59,125,258
Dolores,1,Question 6B Taxation of Retail Marijuana within t NO,,,,29,125,258
Dolores,1,Question 7A Mill Levy Increase for Rico Fire Depa1 YES,,,,69,125,258
Dolores,1,Question 7A Mill Levy Increase for Rico Fire Depa1 NO,,,,26,125,258
Dolores,2,U.S. Senate,,Mark Udall,DEM,36,204,334
Dolores,2,U.S. Senate,,Cory Gardner,REP,151,204,334
Dolores,2,U.S. Senate,,Gayton Kent,LIB,2,204,334
Dolores,2,U.S. Senate,,Raul Acosta,UNA,4,204,334
Dolores,2,U.S. Senate,,Bill Hammons,UNI,0,204,334
Dolores,2,U.S. Senate,,Steve Shogan,UNA,2,204,334
Dolores,2,Rep. To The 114th U.S. Congress- District 3,3,Scott R. Tipton,REP,152,204,334
Dolores,2,Rep. To The 114th U.S. Congress- District 3,3,Abel J. Tapia,DEM,35,204,334
Dolores,2,Rep. To The 114th U.S. Congress- District 3,3,Travis Mero,LIB,6,204,334
Dolores,2,Rep. To The 114th U.S. Congress - District 3,3,Tisha T. Casida,UNA,4,204,334
Dolores,2,Governor/Lieutenant Governor,,Bob Beauprez I Jill Repella,REP,144,204,334
Dolores,2,Governor/Lieutenant Governor,,John Hickenlooper I Joe Garcia,DEM,43,204,334
Dolores,2,Governor/Lieutenant Governor,,Harry Hempy I Scott Olson,GRN,5,204,334
Dolores,2,Governor/Lieutenant Governor,,Matthew Hess I Brandon Young,LIB,5,204,334
Dolores,2,Governor/Lieutenant Governor,,Mike Dunafon I Robin J. Roberts,UNA,2,204,334
Dolores,2,Governor/Lieutenant Governor,,Paul Noel Fiorino I Charles George Whitley,UNA,0,204,334
Dolores,2,Secretary of State,,Joe Neguse,DEM,43,204,334
Dolores,2,Secretary of State,,Wayne W. Williams,REP,128,204,334
Dolores,2,Secretary of State,,Amanda Campbell,ACP,12,204,334
Dolores,2,Secretary of State,,Dave Schambach,LIB,9,204,334
Dolores,2,State Treasurer,,Walker Stapleton,REP,138,204,334
Dolores,2,State Treasurer,,Betsy Markey,DEM,42,204,334
Dolores,2,StateTreasurer,,David Jurist,LIB,11,204,334
Dolores,2,Attorney General,,Don Quick,DEM,34,204,334
Dolores,2,Attorney General,,Cynthia Coffman,REP,140,204,334
Dolores,2,Attorney General,,David K. Williams,LIB,16,204,334
Dolores,2,St Board of Ed. -Congressional District 3,3,Henry C. Roman,DEM,42,204,334
Dolores,2,St Board of Ed. -Congressional District 3,3,Marcia Neal,REP,144,204,334
Dolores,2,State Senate - District 6,6,Ellen S. Roberts,REP,150,204,334
Dolores,2,State Representative - District 58,58,Don Coram,REP,157,204,334
Dolores,2,County Commissioner- District 1,1,Julie R. Kibei,REP,168,204,334
Dolores,2,County Clerk and Recorder,,LaRita Randolph,REP,167,204,334
Dolores,2,County Treasurer,,Janie Stiasny,DEM,139,204,334
Dolores,2,County Assessor,,Berna Ernst,DEM,131,204,334
Dolores,2,County Sheriff,,Jerry D. Martin,UNA,160,204,334
Dolores,2,County Coroner,,Tom Myers,DEM,135,204,334
Dolores,2,Brian D. Boatright,,Yes,,74,204,334
Dolores,2,Brian D. Boatright,,No,,87,204,334
Dolores,2,Monica M. Marquezs,,Yes,,79,204,334
Dolores,2,Monica M. Marquezs,,No,,85,204,334
Dolores,2,Terry Fox,,Yes,,73,204,334
Dolores,2,Terry Fox,,No,,87,204,334
Dolores,2,Alan M. Loeb,,Yes,,80,204,334
Dolores,2,Alan M. Loeb,,No,,80,204,334
Dolores,2,Amendment 67 (CONSTITUTIONAL),,YES/FOR,,85,204,334
Dolores,2,Amendment 67 (CONSTITUTIONAL),,NO/AGAINST,,113,204,334
Dolores,2,Amendment 68 (CONSTITUTIONAL),,YES/FOR,,41,204,334
Dolores,2,Amendment 68 (CONSTITUTIONAL),,NO/AGAINST,,161,204,334
Dolores,2,Proposition 104 (STATUTORY),,YES/FOR,,133,204,334
Dolores,2,Proposition 104 (STATUTORY),,NO/AGAINST,,57,204,334
Dolores,2,Proposition 105 (STATUTORY),,YES/FOR,,51,204,334
Dolores,2,Proposition 105 (STATUTORY),,NO/AGAINST,,148,204,334
Dolores,3,U.S. Senate,,Mark Udall,DEM,42,252,384
Dolores,3,U.S. Senate,,Cory Gardner,REP,188,252,384
Dolores,3,U.S. Senate,,Gaylon Kent,LIB,7,252,384
Dolores,3,U.S. Senate,,Raul Acosta,UNA,2,252,384
Dolores,3,U.S. Senate,,Bill Hammons,UNI,0,252,384
Dolores,3,U.S. Senate,,Steve Shogan,UNA,5,252,384
Dolores,3,Rep. To The 114th U.S. Congress- District 3,3,Scott R. Tipton,REP,185,252,384
Dolores,3,Rep. To The 114th U.S. Congress- District 3,3,Abel J. Tapia,DEM,37,252,384
Dolores,3,Rep. To The 114th U.S. Congress- District 3,3,Travis Mero,LIB,6,252,384
Dolores,3,Rep. To The 114th U.S. Congress- District 3,3,Tisha T. Casida,UNA,13,252,384
Dolores,3,Governor/Lieutenant Governor,3,Bob Beauprez I Jill Repella,REP,177,252,384
Dolores,3,Governor/Lieutenant Governor,3,John Hickenlooper I Joe Garcia,DEM,54,252,384
Dolores,3,Governor/lieutenant Governor,6,Harry Hempy I Scott Olson,GRN,2,252,384
Dolores,3,Governor/lieutenant Governor,58,Matthew Hess I Brandon Young,LIB,6,252,384
Dolores,3,Governor/lieutenant Governor,1,Mike Dunafon I Robin J. Roberts,UNA,3,252,384
Dolores,3,Governor/lieutenant Governor,,Paul Noel Fiorino I Charles George Whitley,UNA,0,252,384
Dolores,3,Secretary of State,,Joe Neguse,DEM,47,252,384
Dolores,3,Secretary of State,,Wayne W. Williams,REP,159,252,384
Dolores,3,Secretary of State,,Amanda Campbell,ACP,21,252,384
Dolores,3,Secretary of State,,Dave Schambach,LIB,5,252,384
Dolores,3,State Treasurer,,Walker Stapleton,REP,163,252,384
Dolores,3,State Treasurer,,Betsy Markey,DEM,63,252,384
Dolores,3,State Treasurer,,David Jurist,LIB,5,252,384
Dolores,3,Attorney General,,Don Quick,DEM,40,252,384
Dolores,3,Attorney General,,Cynthia Coffman,REP,182,252,384
Dolores,3,Attorney General,,David K. Williams,LIB,8,252,384
Dolores,3,St Board of Ed. -Congressional District 3,3,Henry C. Roman,DEM,37,252,384
Dolores,3,St Board of Ed. -Congressional District 3,3,Marcia Neal,REP,177,252,384
Dolores,3,State Senate - District 6,6,Ellen S. Roberts,REP,186,252,384
Dolores,3,State Representative - District 58,58,Don Coram,REP,182,252,384
Dolores,3,County Commissioner- District 1,1,Julie R. Kibei,REP,194,252,384
Dolores,3,County Clerk and Recorder,,LaRita Randolph,REP,195,252,384
Dolores,3,County Treasurer,,Janie Stiasny,DEM,197,252,384
Dolores,3,County Assessor,,Berna Ernst,DEM,163,252,384
Dolores,3,County Sheriff,,Jerry D. Martin,UNA,189,252,384
Dolores,3,County Coroner,,Tom Myers,DEM,194,252,384
Dolores,3,Brian D. Boatright,,Yes,,71,252,384
Dolores,3,Brian D. Boatright,,No,,119,252,384
Dolores,3,Monica M. Marquezs,,Yes,,72,252,384
Dolores,3,Monica M. Marquezs,,No,,110,252,384
Dolores,3,Terry Fox,,Yes,,71,252,384
Dolores,3,Terry Fox,,No,,109,252,384
Dolores,3,Alan M. Loeb,,Yes,,73,252,384
Dolores,3,Alan M. Loeb,,No,,107,252,384
Dolores,3,Amendment 67 (CONSTITUTIONAL),,YES/FOR,,109,252,384
Dolores,3,Amendment 67 (CONSTITUTIONAL),,NO/AGAINST,,134,252,384
Dolores,3,Amendment 68 (CONSTITUTIONAL),,YES/FOR,,64,252,384
Dolores,3,Amendment 68 (CONSTITUTIONAL),,NO/AGAINST,,183,252,384
Dolores,3,Proposition 104 (STATUTORY),,YES/FOR,,164,252,384
Dolores,3,Proposition 104 (STATUTORY),,NO/AGAINST,,78,252,384
Dolores,3,Proposition 105 (STATUTORY),,YES/FOR,,54,252,384
Dolores,3,Proposition 105 (STATUTORY),,NO/AGAINST,,191,252,384
Dolores,4,U.S. Senate,,Mark Udall,DEM,87,421,665
Dolores,4,U.S. Senate,,Cory Gardner,REP,282,421,665
Dolores,4,U.S. Senate,,Gaylon Kent,LIB,14,421,665
Dolores,4,U.S. Senate,,Raul Acosta,UNA,12,421,665
Dolores,4,U.S. Senate,,Bill Hammons,UNI,1,421,665
Dolores,4,U.S. Senate,,Steve Shogan,UNA,10,421,665
Dolores,4,Rep. To The 114th U.S. Congress- District 3,3,Scott R. Tipton,REP,301,421,665
Dolores,4,Rep. To The 114th U.S. Congress- District 3,3,Abel J. Tapia,DEM,65,421,665
Dolores,4,Rep. To The 114th U.S. Congress- District 3,3,Travis Mero,LIB,11,421,665
Dolores,4,Rep. To The 114th U.S. Congress- District 3,3,Tisha T. Casida,UNA,27,421,665
Dolores,4,Governor/Lieutenant Governor,3,Bob Beauprez I Jill Repella,REP,285,421,665
Dolores,4,Governor/Lieutenant Governor,3,John Hickenlooper I Joe Garcia,DEM,95,421,665
Dolores,4,Governor/Lieutenant Governor,6,Harry Hempy I Scott Olson,GRN,7,421,665
Dolores,4,Governor/Lieutenant Governor,58,Matthew Hess I Brandon Young,LIB,8,421,665
Dolores,4,Governor/Lieutenant Governor,1,Mike Dunafon I Robin J. Roberts,UNA,13,421,665
Dolores,4,Governor/Lieutenant Governor,,Paul Noel Fiorino I Charles George Whitley,UNA,2,421,665
Dolores,4,Secretary of State,,Joe Neguse,DEM,76,421,665
Dolores,4,Secretary of State,,Wayne W. Williams,REP,250,421,665
Dolores,4,Secretary of State,,Amanda Campbell,ACP,47,421,665
Dolores,4,Secretary of State,,Dave Schambach,LIB,12,421,665
Dolores,4,State Treasurer,,Walker Stapleton,REP,262,421,665
Dolores,4,State Treasurer,,Betsy Markey,DEM,99,421,665
Dolores,4,State Treasurer,,David Jurist,LIB,21,421,665
Dolores,4,Attorney General,,Don Quick,DEM,61,421,665
Dolores,4,Attorney General,,Cynthia Coffman,REP,288,421,665
Dolores,4,Attorney General,,David K. Williams,LIB,29,421,665
Dolores,4,St Board of Ed. - Congressional District 3,3,Henry C. Roman,DEM,79,421,665
Dolores,4,St Board of Ed. -Congressional District 3,3,Marcia Neal,REP,285,421,665
Dolores,4,State Senate- District 6,6,Ellen S. Roberts,REP,310,421,665
Dolores,4,State Representative - District 58,58,Don Coram,REP,301,421,665
Dolores,4,County Commissioner- District 1,1,Julie R. Kibei,REP,335,421,665
Dolores,4,County Clerk and Recorder,,LaRita Randolph,REP,343,421,665
Dolores,4,County Treasurer,,Janie Stiasny,DEM,341,421,665
Dolores,4,County Assessor,,Berna Ernst,DEM,286,421,665
Dolores,4,County Sheriff,,Jerry D. Martin,UNA,317,421,665
Dolores,4,County Coroner,,Tom Myers,DEM,305,421,665
Dolores,4,Brian D. Boatright,,Yes,,185,421,665
Dolores,4,Brian D. Boatright,,No,,139,421,665
Dolores,4,Monica M. Marquezs,,Yes,,190,421,665
Dolores,4,Monica M. Marquezs,,No,,135,421,665
Dolores,4,Terry Fox,,Yes,,186,421,665
Dolores,4,Terry Fox,,No,,132,421,665
Dolores,4,Alan M. Loeb,,Yes,,185,421,665
Dolores,4,Alan M. Loeb,,No,,129,421,665
Dolores,4,Amendment 67 (CONSTITUTIONAL),,YES/FOR,,183,421,665
Dolores,4,Amendment 67 (CONSTITUTIONAL),,NO/AGAINST,,217,421,665
Dolores,4,Amendment 68 (CONSTITUTIONAL),,YES/FOR,,101,421,665
Dolores,4,Amendment 68 (CONSTITUTIONAL),,NO/AGAINST,,310,421,665
Dolores,4,Proposition 104 (STATUTORY),,YES/FOR,,252,421,665
Dolores,4,Proposition 104 (STATUTORY),,NO/AGAINST,,149,421,665
Dolores,4,Proposition 105 (STATUTORY),,YES/FOR,,66,421,665
Dolores,4,Proposition 105 (STATUTORY),,NO/AGAINST,,343,421,665
Dolores,Provisional,U.S. Senate,,Mark Udall,DEM,0,0,0
Dolores,Provisional,U.S. Senate,,Cory Gardner,REP,0,0,0
Dolores,Provisional,U.S. Senate,,Gaylon Kent,LIB,0,0,0
Dolores,Provisional,U.S. Senate,,Raul Acosta,UNA,0,0,0
Dolores,Provisional,U.S. Senate,,Bill Hammons,UNI,0,0,0
Dolores,Provisional,U.S. Senate,,Steve Shogan,UNA,0,0,0
Dolores,Provisional,Rep. To The 114th U.S. Congress- District 3,3,Scott R. Tipton,REP,0,0,0
Dolores,Provisional,Rep. To The 114th U.S. Congress- District 3,3,Abel J. Tapia,DEM,0,0,0
Dolores,Provisional,Rep. To The 114th U.S. Congress- District 3,3,Travis Mero,LIB,0,0,0
Dolores,Provisional,Rep. To The 114th U.S. Congress- District 3,3,Tisha T. Casida,UNA,0,0,0
Dolores,Provisional,Governor/Lieutenant Governor,3,Bob Beauprez I Jill Repella,REP,0,0,0
Dolores,Provisional,Governor/Lieutenant Governor,3,John Hickenlooper I Joe Garcia,DEM,0,0,0
Dolores,Provisional,Governor/Lieutenant Governor,6,Harry Hempy I Scott Olson,GRN,0,0,0
Dolores,Provisional,Governor/Lieutenant Governor,58,Matthew Hess I Brandon Young,LIB,0,0,0
Dolores,Provisional,Governor/Lieutenant Governor,1,Mike Dunafon I Robin J. Roberts,UNA,0,0,0
Dolores,Provisional,Governor/Lieutenant Governor,,Paul Noel Fiorino I Charles George Whitley,UNA,0,0,0
Dolores,Provisional,Secretary of State,,Joe Neguse,DEM,0,0,0
Dolores,Provisional,Secretary of State,,Wayne W. Williams,REP,0,0,0
Dolores,Provisional,Secretary of State,,Amanda Campbell,ACP,0,0,0
Dolores,Provisional,Secretary of State,,Dave Schambach,LIB,0,0,0
Dolores,Provisional,State Treasurer,,Walker Stapleton,REP,0,0,0
Dolores,Provisional,State Treasurer,,Betsy Markey,DEM,0,0,0
Dolores,Provisional,State Treasurer,,David Jurist,LIB,0,0,0
Dolores,Provisional,Attorney General,,Don Quick,DEM,0,0,0
Dolores,Provisional,Attorney General,,Cynthia Coffman,REP,0,0,0
Dolores,Provisional,Attorney General,,David K. Williams,LIB,0,0,0
Dolores,Provisional,St Board of Ed.- Congressional District 3,3,Henry C. Roman,DEM,0,0,0
Dolores,Provisional,St Board of Ed.- Congressional District 3,3,Marcia Neal,REP,0,0,0
Dolores,Provisional,State Senate - District 6,6,Ellen S. Roberts,REP,0,0,0
Dolores,Provisional,State Representative - District 58,58,Don Coram,REP,0,0,0
Dolores,Provisional,County Commissioner- District 1,1,Julie R. Kibei,REP,0,0,0
Dolores,Provisional,County Clerk and Recorder,,LaRita Randolph,REP,0,0,0
Dolores,Provisional,County Treasurer,,Janie Stiasny,DEM,0,0,0
Dolores,Provisional,County Assessor,,Berna Ernst,DEM,0,0,0
Dolores,Provisional,County Sheriff,,Jerry D. Martin,UNA,0,0,0
Dolores,Provisional,County Coroner,,Tom Myers,DEM,0,0,0
Dolores,Provisional,Brian D. Boatright,,Yes,,0,0,0
Dolores,Provisional,Brian D. Boatright,,No,,0,0,0
Dolores,Provisional,Monica M. Marquezs,,Yes,,0,0,0
Dolores,Provisional,Monica M. Marquezs,,No,,0,0,0
Dolores,Provisional,Terry Fox,,Yes,,0,0,0
Dolores,Provisional,Terry Fox,,No,,0,0,0
Dolores,Provisional,Alan M. Loeb,,Yes,,0,0,0
Dolores,Provisional,Alan M. Loeb,,No,,0,0,0
Dolores,Provisional,Amendment 67 (CONSTITUTIONAL),,YES/FOR,,0,0,0
Dolores,Provisional,Amendment 67 (CONSTITUTIONAL),,NO/AGAINST,,0,0,0
Dolores,Provisional,Amendment 68 {CONSTITUTIONAL),,YES/FOR,,0,0,0
Dolores,Provisional,Amendment 68 (CONSTITUTIONAL),,NO/AGAINST,,0,0,0
Dolores,Provisional,Proposition 104 (STATUTORY),,YES/FOR,,0,0,0
Dolores,Provisional,Proposition 104 (STATUTORY),,NO/AGAINST,,0,0,0
Dolores,Provisional,Proposition 105 (STATUTORY),,YES/FOR,,0,0,0
Dolores,Provisional,Proposition 105 (STATUTORY),,NO/AGAINST,,0,0,0
Dolores,Provisional,Question 6A Regulation of Retail Marijuana within,,YES,,0,0,0
Dolores,Provisional,Question 6A Regulation of Retail Marijuana within,,NO,,0,0,0
Dolores,Provisional,Question 6B Taxation of Retail Marijuana within t,,YES,,0,0,0
Dolores,Provisional,Question 6B Taxation of Retail Marijuana within t NO,,NO,,0,0,0
Dolores,Provisional,Question 7A Mill Levy Increase for Rico Fire Depa,,YES,,0,0,0
Dolores,Provisional,Question 7A Mill Levy Increase for Rico Fire Depa,,NO,,0,0,0
